TRAINTrainTimesRANKS:,PB-A,MV-A,RC-A,SMLR-A,SMLRE-A,NBC-A,CAWPE-A,SMM5-A,WMV-A,ES-A
abalone,1.0,3.0,2.0,6.0,8.0,4.0,7.0,10.0,5.0,9.0
acute-inflammation,2.5,2.5,2.5,6.0,8.0,2.5,9.0,6.0,6.0,10.0
acute-nephritis,3.0,3.0,3.0,7.0,7.0,3.0,9.0,7.0,3.0,10.0
adult,1.0,2.0,3.0,7.0,8.0,5.0,6.0,10.0,4.0,9.0
annealing,1.0,3.5,3.5,6.0,8.0,3.5,9.0,7.0,3.5,10.0
arrhythmia,4.5,2.0,2.0,9.0,10.0,4.5,6.0,8.0,2.0,7.0
audiology-std,4.5,2.0,2.0,9.0,10.0,4.5,7.5,6.0,2.0,7.5
balance-scale,3.0,3.0,3.0,5.0,6.5,8.0,9.0,6.5,1.0,10.0
balloons,3.0,3.0,3.0,6.5,3.0,8.0,9.5,6.5,3.0,9.5
bank,3.0,3.0,3.0,5.0,6.0,7.5,7.5,10.0,1.0,9.0
blood,2.0,2.0,2.0,4.0,5.0,8.0,8.0,6.0,8.0,10.0
breast-cancer,1.0,3.0,3.0,3.0,5.0,8.0,8.0,6.0,8.0,10.0
breast-cancer-wisc,2.0,2.0,2.0,4.0,5.0,7.5,7.5,6.0,9.0,10.0
breast-cancer-wisc-diag,1.0,2.5,2.5,4.0,5.0,8.0,7.0,6.0,9.0,10.0
breast-cancer-wisc-prog,2.0,2.0,2.0,4.0,5.0,8.0,8.0,6.0,8.0,10.0
breast-tissue,1.5,1.5,3.0,4.5,6.0,8.0,8.0,4.5,8.0,10.0
car,1.0,2.5,2.5,4.0,6.0,8.0,7.0,5.0,9.0,10.0
cardiotocography-3clases,1.5,3.0,1.5,4.0,5.0,7.0,8.0,6.0,9.0,10.0
cardiotocography-10clases,1.0,2.5,2.5,8.0,10.0,4.0,5.0,9.0,6.0,7.0
chess-krvk,5.0,4.0,3.0,9.0,10.0,1.0,2.0,8.0,6.0,7.0
chess-krvkp,5.0,2.5,2.5,6.0,7.0,2.5,2.5,8.0,9.0,10.0
congressional-voting,3.0,3.0,3.0,6.0,7.0,3.0,3.0,8.0,9.0,10.0
conn-bench-sonar-mines-rocks,2.0,2.0,5.5,5.5,5.5,2.0,5.5,8.0,9.0,10.0
conn-bench-vowel-deterding,2.5,2.5,1.0,9.0,10.0,4.0,5.0,8.0,6.0,7.0
connect-4,4.0,1.5,1.5,7.0,8.0,3.0,5.0,10.0,6.0,9.0
contrac,2.5,1.0,2.5,4.0,5.0,7.5,6.0,10.0,7.5,9.0
credit-approval,4.5,2.0,3.0,4.5,1.0,8.0,7.0,6.0,9.0,10.0
cylinder-bands,3.0,3.0,3.0,5.0,1.0,7.5,7.5,6.0,9.0,10.0
dermatology,1.5,3.0,1.5,4.0,6.0,8.0,7.0,5.0,9.0,10.0
echocardiogram,3.5,3.5,3.5,3.5,1.0,8.0,8.0,6.0,8.0,10.0
ecoli,2.0,2.0,2.0,4.0,10.0,6.0,7.0,5.0,8.0,9.0
energy-y1,2.0,2.0,2.0,4.0,5.0,8.0,7.0,6.0,9.0,10.0
energy-y2,2.0,2.0,2.0,4.0,5.0,8.0,7.0,6.0,9.0,10.0
fertility,3.5,3.5,3.5,3.5,1.0,9.0,9.0,6.0,9.0,7.0
flags,1.5,3.0,1.5,4.0,10.0,7.0,6.0,5.0,8.0,9.0
glass,2.0,2.0,2.0,4.0,6.0,8.5,7.0,5.0,8.5,10.0
haberman-survival,2.0,3.0,4.5,4.5,1.0,8.5,7.0,6.0,8.5,10.0
hayes-roth,2.0,2.0,2.0,4.0,5.0,7.5,7.5,6.0,9.0,10.0
heart-cleveland,1.5,1.5,3.0,4.0,6.0,8.0,7.0,5.0,9.0,10.0
heart-hungarian,2.0,4.0,4.0,4.0,1.0,8.0,8.0,6.0,8.0,10.0
heart-switzerland,2.0,3.0,1.0,4.0,6.0,9.0,7.0,5.0,8.0,10.0
heart-va,2.0,2.0,2.0,4.0,6.0,7.0,8.0,5.0,9.0,10.0
hepatitis,3.0,3.0,3.0,5.0,1.0,8.0,8.0,6.0,8.0,10.0
hill-valley,2.0,2.0,2.0,4.0,5.0,9.0,8.0,6.0,7.0,10.0
horse-colic,2.0,3.5,3.5,5.0,1.0,8.0,7.0,6.0,9.0,10.0
ilpd-indian-liver,2.5,4.0,2.5,5.0,1.0,9.0,7.0,6.0,8.0,10.0
image-segmentation,3.0,1.5,1.5,7.0,10.0,4.0,5.0,9.0,6.0,8.0
ionosphere,2.0,4.0,4.0,4.0,1.0,8.5,7.0,6.0,8.5,10.0
iris,3.0,3.0,3.0,5.0,1.0,8.0,7.0,6.0,9.0,10.0
led-display,2.5,2.5,1.0,8.0,10.0,5.0,4.0,9.0,6.0,7.0
lenses,3.5,3.5,3.5,3.5,1.0,8.0,8.0,6.0,8.0,10.0
letter,2.0,4.0,5.0,9.0,10.0,3.0,1.0,8.0,6.0,7.0
libras,3.0,3.0,3.0,9.0,10.0,3.0,3.0,7.0,6.0,8.0
low-res-spect,3.5,3.5,3.5,6.0,10.0,3.5,1.0,7.0,8.0,9.0
lung-cancer,4.0,4.0,1.0,4.0,7.5,4.0,4.0,7.5,9.0,10.0
lymphography,2.0,2.0,4.5,6.0,8.0,2.0,4.5,7.0,9.0,10.0
magic,2.0,3.5,3.5,5.0,8.0,1.0,6.0,10.0,7.0,9.0
mammographic,2.0,2.0,2.0,4.0,5.0,9.0,7.0,6.0,8.0,10.0
miniboone,1.0,4.0,5.0,7.0,8.0,2.0,3.0,10.0,6.0,9.0
molec-biol-promoter,2.0,2.0,6.0,7.0,4.5,2.0,8.0,4.5,9.0,10.0
molec-biol-splice,1.0,4.0,3.0,5.0,6.0,2.0,7.0,10.0,8.0,9.0
monks-1,5.5,2.0,2.0,2.0,4.0,7.0,8.0,5.5,9.0,10.0
monks-2,1.0,3.0,3.0,3.0,5.0,8.0,7.0,6.0,9.0,10.0
monks-3,2.5,2.5,2.5,2.5,5.0,8.5,7.0,6.0,8.5,10.0
mushroom,1.0,2.0,3.0,4.0,5.0,7.0,8.0,6.0,9.0,10.0
musk-1,1.5,5.0,3.0,1.5,4.0,8.0,7.0,6.0,9.0,10.0
musk-2,1.0,3.0,2.0,4.0,5.0,7.5,7.5,6.0,9.0,10.0
nursery,1.0,2.0,3.0,7.0,10.0,4.0,5.0,9.0,6.0,8.0
oocytes_merluccius_nucleus_4d,1.5,3.5,1.5,3.5,5.0,7.0,8.0,6.0,9.0,10.0
oocytes_merluccius_states_2f,1.0,2.5,2.5,4.0,5.0,8.5,7.0,6.0,8.5,10.0
oocytes_trisopterus_nucleus_2f,2.5,2.5,2.5,2.5,5.0,7.0,8.0,6.0,9.0,10.0
oocytes_trisopterus_states_5b,1.5,3.0,1.5,4.0,5.0,8.0,7.0,6.0,9.0,10.0
optical,1.0,2.0,3.0,8.0,10.0,4.0,5.0,9.0,6.0,7.0
ozone,1.0,2.5,2.5,4.0,5.0,8.0,7.0,6.0,9.0,10.0
page-blocks,1.0,3.0,2.0,4.0,9.0,5.0,6.0,10.0,7.0,8.0
